"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/pr11990"	"MARIO"	"BONESCHI"	"19070127"		"true"
"http://dati.camera.it/ocd/persona.rdf/p27370"	"IVANOE"	"BONOMI"	"18731018"	"19510420"	"true"
"http://dati.camera.it/ocd/persona.rdf/p1000"	"PAOLO"	"BONOMI"	"19100606"	"19850223"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11991"	"BONUCCIO"	"BONUCCI"	"19041207"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr10576"	"IGINO"	"BORIN"	"18901208"	"19540223"	"true"
"http://dati.camera.it/ocd/persona.rdf/p25410"	"GIAMBATTISTA"	"BOSCO LUCARELLI"	"18810521"	"19540422"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11992"	"PIETRO"	"BOTTONI"	"19030711"		"true"
"http://dati.camera.it/ocd/persona.rdf/p1110"	"ALDO"	"BOZZI"	"19090222"	"19871101"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300659"	"MARIO"	"BRACCI"	"19000212"	"19590515"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27400"	"GIOVANNI"	"BRASCHI"	"18910227"	"19590105"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300764"	"COSTANTINO"	"BRESCIANI TURRONI"	"18820226"	"19631207"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr101135"	"ALESSANDRO"	"BRUNI"	"18931112"		"true"
"http://dati.camera.it/ocd/persona.rdf/p18060"	"GIUSEPPE"	"BRUSASCA"	"19000830"	"19940601"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11996"	"NAZZARENO"	"BUSCHI"	"18880602"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25450"	"PIERO"	"CALAMANDREI"	"18890421"	"19560927"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr11999"	"GUGLIELMO"	"CALARCO"	"18880713"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12000"	"CLEMENTINA"	"CALIGARIS"	"18820918"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12001"	"GUIDO"	"CALOGERO"	"19041204"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12002"	"NATALE"	"CAMARRA"	"18981225"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12003"	"ANDREA"	"CAMIA"	"18961009"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25460"	"PIETRO"	"CAMPILLI"	"18911130"	"19740708"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27460"	"GIUSEPPE"	"CANEPA"	"18650315"	"19481222"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27450"	"EMILIO"	"CANEVARI"	"18800121"	"19640420"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12004"	"CARLO"	"CAPELLARO"	"19040406"		"true"
"http://dati.camera.it/ocd/persona.rdf/p11350"	"PAOLO"	"CAPPA"	"18880219"	"19560626"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr10654"	"LUIGI"	"CAPRA"	"18720621"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25480"	"AGILULFO"	"CARAMIA"	"18850606"	"19621005"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27490"	"NICOLO'"	"CARANDINI"	"18951106"	"19720318"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27500"	"LUIGI"	"CARBONARI"	"18801003"	"19710920"	"true"
"http://dati.camera.it/ocd/persona.rdf/p12450"	"GIOVANNI"	"CARIGNANI"	"18930601"	"19611010"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300046"	"GUIDO"	"CARLI"			"true"
"http://dati.camera.it/ocd/persona.rdf/p27540"	"LUIGI"	"CARMAGNOLA"	"18950926"	"19740825"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12009"	"CARLO"	"CASALI"	"18990620"		"true"
"http://dati.camera.it/ocd/persona.rdf/p303297"	"ALESSANDRO"	"CASATI"		"19550604"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12010"	"GIOVANNI"	"CASSANDRO"	"19130421"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12011"	"MARIO"	"CASSIANI INGONI"	"19050324"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12012"	"GIUSEPPE"	"CATENACCI"	"18931003"	"1974"	"true"
