"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"riferimento"	"legislatura"
"http://dati.camera.it/ocd/persona.rdf/p307840"	"RAFFAELLA FIORMARIA"	"MARIN"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307905"	"ELENA"	"TESTOR"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_19"
"http://dati.camera.it/ocd/persona.rdf/p307905"	"ELENA"	"TESTOR"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307845"	"ASSUNTA CARMELA"	"MESSINA"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307846"	"CATALDO"	"MININNO"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307908"	"FABRIZIO"	"TRENTACOSTE"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307843"	"MARIASSUNTA"	"MATRISCIANO"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307909"	"MARIO"	"TURCO"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_19"
"http://dati.camera.it/ocd/persona.rdf/p307909"	"MARIO"	"TURCO"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307844"	"RAFFAELE"	"MAUTONE"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307791"	"EMANUELE"	"DESSI'"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_18"
"http://dati.camera.it/ocd/persona.rdf/p307792"	"GABRIELLA"	"DI GIROLAMO"			"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_19"
