"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"riferimento"	"legislatura"
"http://dati.camera.it/ocd/persona.rdf/p50288"	"GIOVANNI"	"MARRAS"	"19590904"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p50288"	"GIOVANNI"	"MARRAS"	"19590904"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"
"http://dati.camera.it/ocd/persona.rdf/p50290"	"ANTONINA"	"DEDONI"	"19490702"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50291"	"SALVATORE"	"CHERCHI"	"19501115"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p50291"	"SALVATORE"	"CHERCHI"	"19501115"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50291"	"SALVATORE"	"CHERCHI"	"19501115"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p50293"	"ANTONIO"	"ATTILI"	"19481001"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50293"	"ANTONIO"	"ATTILI"	"19481001"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"
"http://dati.camera.it/ocd/persona.rdf/p50294"	"FRANCESCO"	"CARBONI"	"19450827"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50294"	"FRANCESCO"	"CARBONI"	"19450827"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p50295"	"PAOLO"	"MANCA"	"19421211"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50301"	"ARGIA VALERIA"	"ALBANESE"	"19600805"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50308"	"LEONE"	"DELFINO"	"19410103"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p50311"	"TERESIO"	"DELFINO"	"19490804"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p50311"	"TERESIO"	"DELFINO"	"19490804"		"camera"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
