"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"riferimento"	"legislatura"
"http://dati.camera.it/ocd/persona.rdf/p21010"	"SILVANO"	"COSTI"	"19270513"	"19931216"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p21060"	"MARIO"	"DAL CASTELLO"	"19420523"	"20250912"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p21130"	"ENRICO"	"ERMELLI CUPELLI"	"19310213"	"20130314"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p21160"	"LUCIANO"	"FARAGUTI"	"19370826"	"20180311"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p21170"	"GIORGIO"	"FERRARI"	"19310829"	"19970121"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21200"	"PUBLIO"	"FIORI"	"19380325"	"20240717"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p21200"	"PUBLIO"	"FIORI"	"19380325"	"20240717"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p21220"	"FRANCESCO"	"FORTE"	"19290211"	"20220101"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21220"	"FRANCESCO"	"FORTE"	"19290211"	"20220101"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p21230"	"LUIGI"	"FOTI"	"19341205"	"20210819"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p21340"	"TARCISIO"	"GITTI"	"19360418"	"20180506"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p21390"	"UGO"	"GRIPPO"	"19320619"	"20170402"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p2140"	"LIBERO"	"DELLA BRIOTTA"	"19250328"	"19850610"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21430"	"LELIO"	"LAGORIO"	"19251109"	"20170107"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21430"	"LELIO"	"LAGORIO"	"19251109"	"20170107"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p2150"	"RENATO"	"DELL'ANDRO"	"19220731"	"19901029"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_05"
"http://dati.camera.it/ocd/persona.rdf/p2150"	"RENATO"	"DELL'ANDRO"	"19220731"	"19901029"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"
"http://dati.camera.it/ocd/persona.rdf/p2150"	"RENATO"	"DELL'ANDRO"	"19220731"	"19901029"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p21560"	"UGO"	"MARTINAT"	"19420428"	"20090328"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p21560"	"UGO"	"MARTINAT"	"19420428"	"20090328"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_16"
"http://dati.camera.it/ocd/persona.rdf/p2160"	"FERRUCCIO"	"DE LORENZO"	"19041025"	"20020710"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"
"http://dati.camera.it/ocd/persona.rdf/p21660"	"VITTORIO"	"OLCESE"	"19250811"	"19990101"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21660"	"VITTORIO"	"OLCESE"	"19250811"	"19990101"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p21680"	"ROBERTO"	"PALLESCHI"	"19250909"	"20091001"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21690"	"ANTONIO"	"PARLATO"	"19390701"	"20100720"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p2180"	"BENIAMINO"	"DE MARIA"	"19110807"	"19940308"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p2180"	"BENIAMINO"	"DE MARIA"	"19110807"	"19940308"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p2180"	"BENIAMINO"	"DE MARIA"	"19110807"	"19940308"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_05"
"http://dati.camera.it/ocd/persona.rdf/p21850"	"GIUSEPPE"	"REINA"	"19280616"	"20100829"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p21850"	"GIUSEPPE"	"REINA"	"19280616"	"20100829"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p21950"	"RAFFAELE"	"RUSSO"	"19321208"	"20241217"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p220"	"LUIGI SILVESTRO"	"ANDERLINI"	"19210922"	"20010326"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"
"http://dati.camera.it/ocd/persona.rdf/p22040"	"NINO"	"SOSPIRI"	"19480726"	"20060102"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p22080"	"EGIDIO"	"STERPA"	"19260922"	"20100701"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p22090"	"DOMENICO"	"SUSI"	"19400404"	"20041219"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p22090"	"DOMENICO"	"SUSI"	"19400404"	"20041219"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p2210"	"GUSTAVO"	"DE MEO"	"19200825"	"20100501"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_03"
"http://dati.camera.it/ocd/persona.rdf/p2210"	"GUSTAVO"	"DE MEO"	"19200825"	"20100501"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_02"
"http://dati.camera.it/ocd/persona.rdf/p2210"	"GUSTAVO"	"DE MEO"	"19200825"	"20100501"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_04"
"http://dati.camera.it/ocd/persona.rdf/p22120"	"GIUSEPPE"	"TATARELLA"	"19350917"	"19990208"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p22150"	"NICOLA"	"TROTTA"	"19301009"	"19941211"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p22280"	"ANTONIO"	"CARPINO"	"19281103"	"19870926"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p22280"	"ANTONIO"	"CARPINO"	"19281103"	"19870926"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p2230"	"LUIGI CIRIACO"	"DE MITA"	"19280202"	"20220526"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p2230"	"LUIGI CIRIACO"	"DE MITA"	"19280202"	"20220526"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"
"http://dati.camera.it/ocd/persona.rdf/p2230"	"LUIGI CIRIACO"	"DE MITA"	"19280202"	"20220526"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_05"
"http://dati.camera.it/ocd/persona.rdf/p2230"	"LUIGI CIRIACO"	"DE MITA"	"19280202"	"20220526"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p22620"	"BENIAMINO"	"ANDREATTA"	"19280811"	"20070326"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p22620"	"BENIAMINO"	"ANDREATTA"	"19280811"	"20070326"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p22620"	"BENIAMINO"	"ANDREATTA"	"19280811"	"20070326"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p22630"	"PIERO MARIO"	"ANGELINI"	"19360122"	"20240924"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p2270"	"MICHELE"	"DI GIESI"	"19270904"	"19831120"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p2270"	"MICHELE"	"DI GIESI"	"19270904"	"19831120"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p23090"	"MICHELE"	"CIFARELLI"	"19130808"	"19980605"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_06"
"http://dati.camera.it/ocd/persona.rdf/p23090"	"MICHELE"	"CIFARELLI"	"19130808"	"19980605"	"governo"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p200709"	"RICCARDO"	"PEDRIZZI"	"19430518"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200709"	"RICCARDO"	"PEDRIZZI"	"19430518"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200709"	"RICCARDO"	"PEDRIZZI"	"19430518"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p200737"	"ENRICO"	"PIANETTA"	"19440506"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200737"	"ENRICO"	"PIANETTA"	"19440506"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p200737"	"ENRICO"	"PIANETTA"	"19440506"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"
"http://dati.camera.it/ocd/persona.rdf/p200739"	"ANGELO"	"PICANO"	"19390314"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p200739"	"ANGELO"	"PICANO"	"19390314"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200768"	"CESARE"	"POZZO"	"19260707"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p200768"	"CESARE"	"POZZO"	"19260707"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200768"	"CESARE"	"POZZO"	"19260707"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200768"	"CESARE"	"POZZO"	"19260707"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_08"
"http://dati.camera.it/ocd/persona.rdf/p200768"	"CESARE"	"POZZO"	"19260707"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p200769"	"ALDO"	"PREDA"	"19400618"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200800"	"GIOVANNI"	"RICEVUTO"	"19411027"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p200800"	"GIOVANNI"	"RICEVUTO"	"19411027"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200806"	"ROLAND"	"RIZ"	"19270512"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p200806"	"ROLAND"	"RIZ"	"19270512"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200806"	"ROLAND"	"RIZ"	"19270512"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200813"	"CARLA"	"ROCCHI"	"19420311"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200813"	"CARLA"	"ROCCHI"	"19420311"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200813"	"CARLA"	"ROCCHI"	"19420311"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
